排名,片名,评分,导演,主演,上映时间,制片国家/地区,类型,电影图
97,杀人回忆,8.8,李安AngLee,宋康昊Kang-hoSong/金相庆Sang-kyun,2003,韩国,剧情动作犯罪悬疑惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg,
98,狩猎,9.1,奉俊昊Joon-hoBong,麦斯·米科尔森MadsMik,2012,丹麦瑞典,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,
99,哈利·波特与死亡圣器(下),8.8,托马斯·温特伯格ThomasVinterberg,丹尼尔·雷德克里夫DanielRadcliffe,2011,美国英国,奇幻冒险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,
100,请以你的名字呼唤我,8.9,大卫·叶茨DavidYates,艾米·汉莫ArmieHammer/,2017,意大利法国巴西美国荷兰德国,剧情爱情同性,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,
101,幽灵公主,8.9,宫崎骏HayaoMiyazaki,松田洋治YôjiMatsuda/石田百合,1997,日本,动画奇幻冒险,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,
102,阳光灿烂的日子,8.8,姜文WenJiang,夏雨YuXia/宁静JingNing/陶虹HongTao1994/中国大陆中国香港/剧情爱情,未知,未知,未知,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,
103,小森林 夏秋篇,9.0,未知,未知,2014,日本,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,
104,入殓师,8.8,森淳一JunichiMori,桥本爱AiHashimoto/三浦贵大Takahir,2008,日本,剧情,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg,
105,重庆森林,8.7,泷田洋二郎YôjirôTakita,本木雅弘MasahiroMotoki/,1994,中国香港,剧情爱情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,
106,第六感,8.9,王家卫KarWaiWong,林青霞BrigitteLin/金城武TakeshiK,1999,美国,剧情悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,
107,7号房的礼物,8.9,M·奈特·沙马兰M.NightShyamalan,布鲁斯·威利斯BruceWi,2013,韩国,剧情喜剧家庭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,
108,消失的爱人,8.7,李焕庆Hwan-kyeongLee,柳承龙Seung-yongRyoo/朴信惠Shi,2014,美国,剧情犯罪悬疑惊悚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,
109,红辣椒,9.0,大卫·芬奇DavidFincher,本·阿弗莱克BenAffleck/罗莎蒙,2006,日本,动画悬疑科幻惊悚,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,
110,小森林 冬春篇,9.0,今敏SatoshiKon,林原惠美MegumiHayashibara/江守彻Toru,2015,日本,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258078370.jpg,
111,爱在黎明破晓前,8.8,森淳一JunichiMori,桥本爱AiHashimoto/三浦贵大Takahir,1995,美国奥地利瑞士,剧情爱情,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,
112,一一,9.0,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2000,中国台湾日本,剧情爱情家庭,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,
113,侧耳倾听,8.9,杨德昌EdwardYang,吴念真/李凯莉KellyLee/金燕玲Elai,1995,日本,剧情爱情动画,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,
114,唐伯虎点秋香,8.6,近藤喜文YoshifumiKondo,本名阳子YoukoHonna/小林桂树K,1993,中国香港,喜剧爱情古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,
115,超脱,8.9,李力持Lik-ChiLee,周星驰StephenChow/巩俐LiGong/陈,2011,美国,剧情,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,
116,玛丽和马克思,8.9,托尼·凯耶TonyKaye,艾德里安·布洛迪AdrienBrody/马西,2009,澳大利亚,剧情喜剧动画,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2162822165.jpg,
117,倩女幽魂,8.7,亚当·艾略特AdamElliot,托妮·科莱特ToniCollette/菲利,1987,中国香港,爱情奇幻武侠古装,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,
